id,userId,ticketId,price,amount,timestamp
booking-ef18405c-62ec-434b-90a4-66683ab974,user-3b912466-368e-4e4a-b0ae-ffa1a44a4c,ticket-56e28b68-6242-46c0-9c93-e67350f3d1,5,2,2024-06-10T08:21:45.000Z
booking-7a7e78e8-38ef-4ec7-b600-6a34db1040,user-7ec81507-736d-4b30-a6da-fbd6c6a0f0,ticket-dc07d391-a64a-4c6d-bf9c-b99b3ecf5f,22,3,2024-06-13T11:04:18.000Z
booking-a8f21434-4e17-4be9-aa96-62333d0ca0,user-e5b4fef6-161f-4587-adcf-d0bee545b9,ticket-79283810-c301-4d08-adf8-28e4d4e670,7.6,5,2024-06-17T00:31:49.000Z
booking-8a7bfed6-bd73-441b-a74d-52440f5bd9,user-fd4a5fe4-839f-421a-83c3-deadadae5c,ticket-27672188-7a88-44d0-9858-55014f9ac9,16.2,1,2024-05-26T14:44:42.000Z
booking-816f860d-0d17-43cf-b4fd-09ff2912d4,user-77005755-aa5c-4884-883f-d620d084be,ticket-0eeb5f04-ace8-46b7-b193-a0c8fe191d,11,4,2024-06-02T08:48:54.000Z
booking-880360ce-8a73-44dc-8365-6165abdeff,user-e6d6658a-5177-4afa-90a2-66210d24ec,ticket-3fe93d11-5ef2-4f74-acf3-9164413aaf,10,4,2024-06-14T02:15:27.000Z
booking-a1203533-8ebf-4b66-a5a5-5014d3c5a1,user-b6de01f8-0a64-4842-94a1-7153182093,ticket-fd7925cb-1700-4226-b0a5-161097ea09,9,2,2024-06-09T07:31:26.000Z
booking-149e43a6-742b-4e01-bd1e-dbd98022ea,user-7ec81507-736d-4b30-a6da-fbd6c6a0f0,ticket-a0dfa734-a520-4b5b-b727-89af883561,30,4,2024-06-06T00:08:30.000Z
booking-1f1890d9-6bd3-4677-89ea-9c5ecf27da,user-206cd370-6b89-40a2-8669-7d8945ec1f,ticket-903310cd-f14c-4e09-9c85-49fae8f30b,16.8,1,2024-06-03T17:22:59.000Z
booking-71d96de2-604e-47bb-8885-9cb62e58bc,user-70821593-1cdf-4c28-b9d7-b486102a2a,ticket-15e9bbe9-a844-41dc-abdf-b48a86be3a,8,1,2024-06-16T13:19:58.000Z
booking-ea0a30ed-3ade-414d-a212-1203ea2db9,user-1693af08-533d-4581-ac7f-8e583fb9b2,ticket-542e578b-a02b-4ea0-bf02-cea7adecde,27,5,2024-06-08T10:15:33.000Z
booking-f54c71e2-c42f-493b-be68-d85099c754,user-ad1d5a0e-37d0-4158-b6b8-a7f00454d4,ticket-56e28b68-6242-46c0-9c93-e67350f3d1,4,1,2024-06-03T23:01:30.000Z
booking-e0cee5ef-06eb-46df-8fdc-6710251d37,user-eedbbaf8-01c3-405b-ae3a-25348b8d04,ticket-ccb9dcab-d476-49e1-bd50-dc54250101,17.6,1,2024-06-03T16:33:25.000Z
booking-bf15d8f4-4146-4dbf-b6a9-061f240d0b,user-686cb033-8787-4b7c-927b-ff1f542a27,ticket-f25163f6-2e0e-46db-b75f-278b8cbf41,5,4,2024-06-05T01:55:24.000Z
booking-61f95f85-7000-4e0a-8df2-008cfcd620,user-686cb033-8787-4b7c-927b-ff1f542a27,ticket-542e578b-a02b-4ea0-bf02-cea7adecde,30,1,2024-06-18T20:13:55.000Z
booking-4ecca5fa-b4c0-484f-8788-04578cdb68,user-0dc10193-ca7f-4a51-8ef6-ab68fc53e5,ticket-37ba7411-1fb2-4949-8d71-9ef279eded,9,4,2024-06-11T03:37:22.000Z
booking-3184caac-b249-4564-b0aa-fb5d60876a,user-2962a8cb-6256-4a32-bf6e-2105256c1a,ticket-89acf1aa-3a6d-4097-bb2f-4440ea0c4d,22,1,2024-06-10T16:16:53.000Z
booking-a3efc179-9b52-4a8e-9317-afed05777d,user-770c545e-3152-4540-8f74-7ee714cd9d,ticket-f25163f6-2e0e-46db-b75f-278b8cbf41,5,3,2024-06-16T07:47:39.000Z
booking-9546b1d6-071c-4fc8-9a7d-8c822acaba,user-73945b27-ba8e-439a-aa0d-82c11ac37d,ticket-43707dcb-3acb-45de-8456-dadbef4f73,25,2,2024-06-18T21:30:16.000Z
booking-e25cb3b1-42df-4c12-8cb5-8cac526e85,user-d06b76c0-323b-4f64-a7d4-44e5d5a508,ticket-fd7925cb-1700-4226-b0a5-161097ea09,8,3,2024-06-02T09:11:12.000Z
booking-83d16991-710a-4781-a85f-6495c51c4d,user-e6d6658a-5177-4afa-90a2-66210d24ec,ticket-a0dfa734-a520-4b5b-b727-89af883561,25,3,2024-06-07T22:55:27.000Z
booking-cda45a2b-4953-4476-a118-ed9dcee96e,user-21efa326-fe44-4834-bcec-43c73dc529,ticket-2a887710-613b-4964-87c5-ce7ee3f184,4,4,2024-06-08T00:06:32.000Z
booking-92201142-9ecd-40fd-a2de-76fd9b4a9e,user-b6de01f8-0a64-4842-94a1-7153182093,ticket-56e28b68-6242-46c0-9c93-e67350f3d1,5,5,2024-06-23T13:24:40.000Z
booking-421f7bd7-f510-48e3-b6cb-0491a2b2d9,user-1693af08-533d-4581-ac7f-8e583fb9b2,ticket-85ff306b-cc0e-4df9-922f-a2674258d8,5,4,2024-06-15T05:07:58.000Z
booking-147a43d4-b4f4-4d12-ad49-061274dbf1,user-e578b40f-b5f5-420e-ad0a-7e0e358a7c,ticket-56429b2b-c413-4b8f-95ed-3185251d2b,29,3,2024-06-23T05:45:21.000Z
