Social Gatherings (event-group-299cb6c2-9654-4929-8cf4-53469d4ba2)
General Admission (ticket-tier-e385c3a1-77b2-46b7-9d61-aa87071157),Includes basic entry to the event.,5€
VIP Admission (ticket-tier-1b5c2cda-7d0b-4387-95b1-ea027e167b),Includes entry plus one complimentary drink.,10€
,,
2024-07-22T08:00:00.000Z,1 hour,
A casual gathering for coffee lovers to discuss their favorite brews and techniques.,110%,200€
GalaWorks Event Management GmbH (organizer-29861f89-6d91-4d47-b2a5-319b00381d),,
Lakeside Lodge (location-71f36516-a431-4ef0-bc70-005fc96816),,
General Admission (ticket-2a887710-613b-4964-87c5-ce7ee3f184),50,5€
VIP Admission (ticket-b8b6f3ad-3b49-41fc-af56-24541c110f),20,10€
speakers,Coffee expert John Doe,
,,
2024-07-22T16:30:00.000Z,2 hours,
Discussing the latest bestseller in a cozy atmosphere.,100%,100€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Lakeside Pavilion (location-b301c669-89dd-478b-aee0-d10a1b5e4e),,
General Admission (ticket-85ff306b-cc0e-4df9-922f-a2674258d8),30,5€
VIP Admission (ticket-15e9bbe9-a844-41dc-abdf-b48a86be3a),10,10€
speakers,Moderator Jane Smith,
,,
2024-07-22T17:30:00.000Z,2 hours,
Test your knowledge and have fun with friends at our trivia night.,120%,150€
GalaWorks Event Management GmbH (organizer-29861f89-6d91-4d47-b2a5-319b00381d),,
Art Gallery Loft (location-aae5c9ff-e6a7-45cc-a498-8f7a5f88a1),,
General Admission (ticket-56e28b68-6242-46c0-9c93-e67350f3d1),40,5€
VIP Admission (ticket-e8582bc5-a317-489c-b40f-ea10520ef6),10,10€
host,Quizmaster Steve,
,,
2024-07-22T18:30:00.000Z,3 hours,
Sing your heart out with friends at our karaoke party.,130%,200€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Town Hall Courtyard (location-540c25a4-a61f-4d6d-bd9c-55aebcfd00),,
General Admission (ticket-65d4bbc5-c14b-464f-8435-558e7b7f78),50,5€
VIP Admission (ticket-ec476583-ff50-4476-8b66-a49f4fd526),15,10€
host,Karaoke DJ Kate,
,,
2024-07-22T17:00:00.000Z,2 hours,
Practice speaking different languages with language enthusiasts.,100%,100€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Castle Courtyard (location-ca481911-6492-46e0-9fe7-97b477bc5e),,
General Admission (ticket-f25163f6-2e0e-46db-b75f-278b8cbf41),30,5€
VIP Admission (ticket-c30d10f5-608a-4a90-a860-1a4228b4d9),10,10€
host,Language Exchange Club,
,,
,,
Wellness Activities (event-group-1700b48d-128d-4d25-b9e6-66ba808c8a)
Standard Ticket (ticket-tier-ef59475f-1e08-412d-98a5-2c1c539668),Includes standard admission.,10€
Premium Ticket (ticket-tier-b5b0ae33-644d-4a4d-9f31-be17d44e6f),Includes admission plus yoga mat and water bottle.,20€
,,
2024-07-25T07:00:00.000Z,1.5 hours,
Relaxing yoga session amidst nature.,120%,150€
GalaWorks Event Management GmbH (organizer-29861f89-6d91-4d47-b2a5-319b00381d),,
Lakeview Pavilion (location-869d61a3-95a5-44e7-a4dc-9f1b84034d),,
Standard Ticket (ticket-37ba7411-1fb2-4949-8d71-9ef279eded),30,10€
Premium Ticket (ticket-0a1dcec3-09b6-417a-940a-577f01b320),10,20€
instructor,Yoga teacher Sarah Johnson,
,,
2024-07-25T06:00:00.000Z,1 hour,
Relax and rejuvenate with guided meditation.,110%,100€
EventHorizon Agency (organizer-ad45a531-92cc-4e6d-9f84-caec4ac3c8),,
Castle Courtyard (location-ca481911-6492-46e0-9fe7-97b477bc5e),,
Standard Ticket (ticket-fd7925cb-1700-4226-b0a5-161097ea09),25,10€
Premium Ticket (ticket-92c7b3fa-5f75-4220-aeda-3ea7687c84),10,20€
instructor,Meditation expert Emily Brown,
,,
,,
Arts and Crafts Workshops (event-group-4a253130-e491-4ba4-acc8-01602d5494)
Regular Ticket (ticket-tier-a5014f99-19d3-4736-bc96-311ff475b5),Includes basic workshop materials.,20€
Deluxe Ticket (ticket-tier-425ca485-2eb1-4b07-ae58-9a77d07c25),Includes additional premium materials.,30€
VIP Ticket (ticket-tier-1f0f06eb-f811-4b22-9688-41cfa63e51),Includes VIP admission with exclusive access and personal instruction.,40€
,,
2024-08-05T12:00:00.000Z,3 hours,
Learn basic painting techniques and create your masterpiece.,120%,360€
DreamEvents GmbH (organizer-8140af2f-a5db-4dd2-aaa6-1086a9ec05),,
Castle Courtyard (location-ca481911-6492-46e0-9fe7-97b477bc5e),,
Regular Ticket (ticket-43707dcb-3acb-45de-8456-dadbef4f73),20,25€
Deluxe Ticket (ticket-04a58fef-33d9-45ee-b60d-8f821c1d0a),10,35€
VIP Ticket (ticket-89853e23-b16e-4b17-9fa1-e8fbecf353),5,50€
instructor,Artist Michael Brown,
,,
